year;WEO2015-CPS;WEO2015-NPS;WEO2015-450S;WEO2018-CPS;WEO2018-NPS;WEO2018-SDS;O;A;B;C;SPC2009;SPC2019;OECD2018;DEBUG
2010;;;;;;;;;;;32;;;1
2011;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;54.8;
2017;;;;;;;;;;;;;;
2018;;;;;;;;;;;;54;;
2019;;;;;;;;;;;;;;
2020;20;22;22;;;;87;87;87;87;;87;68.9;
2021;;;;;;;87;89.61;90.915;92.22;;;;
2022;;;;;;;87;92.2983;95.006175;97.7532;;;;
2023;;;;;;;87;95.067249;99.28145288;103.618392;;;;
2024;;;;;;;87;97.91926647;103.7491183;109.8354955;;;;
2025;;;;22;25;63;87;100.8568445;108.4178286;116.4256253;;;;
2026;;;;;;;87;103.8825498;113.2966309;123.4111628;;;;
2027;;;;;;;87;106.9990263;118.3949793;130.8158325;;;;
2028;;;;;;;87;110.2089971;123.7227533;138.6647825;;;;
2029;;;;;;;87;113.515267;129.2902772;146.9846694;;;;
2030;30;37;100;;;;87;116.920725;135.1083397;155.8037496;100;250;121.7;
2031;;;;;;;87;120.4283468;141.188215;165.1519746;104;;;
2032;;;;;;;87;124.0411972;147.5416847;175.061093;108.16;;;
2033;;;;;;;87;127.7624331;154.1810605;185.5647586;112.4864;;;
2034;;;;;;;87;131.5953061;161.1192082;196.6986442;116.985856;;;
2035;;;;;;;87;135.5431652;168.3695725;208.5005628;121.6652902;;;
2036;;;;;;;87;139.6094602;175.9462033;221.0105966;126.5319018;;;
2037;;;;;;;87;143.797744;183.8637825;234.2712324;131.5931779;;;
2038;;;;;;;87;148.1116763;192.1376527;248.3275063;136.856905;;;
2039;;;;;;;87;152.5550266;200.783847;263.2271567;142.3311812;;;
2040;40;50;140;38;43;140;87;157.1316774;209.8191202;279.0207861;148.0244285;500;;
2041;;;;;;;87;161.8456277;219.2609806;295.7620332;153.9454056;;;
2042;;;;;;;87;166.7009966;229.1277247;313.5077552;160.1032219;;;
2043;;;;;;;87;171.7020265;239.4384723;332.3182206;166.5073507;;;
2044;;;;;;;87;176.8530873;250.2132036;352.2573138;173.1676448;;;
2045;;;;;;;87;182.1586799;261.4727977;373.3927526;180.0943506;;;
2046;;;;;;;87;187.6234403;273.2390736;395.7963178;187.2981246;;;
2047;;;;;;;87;193.2521435;285.5348319;419.5440968;194.7900496;;;
2048;;;;;;;87;199.0497078;298.3838994;444.7167427;202.5816515;;;
2049;;;;;;;87;205.021199;311.8111748;471.3997472;210.6849176;;;
2050;;;;;;;87;211.171835;325.8426777;499.683732;219.1123143;775;293.5;
2051;;;;;;;87;217.50699;340.5055982;529.664756;227.8768069;;;
2052;;;;;;;87;224.0321997;355.8283501;561.4446413;236.9918792;;;
2053;;;;;;;87;230.7531657;371.8406259;595.1313198;246.4715543;;;
2054;;;;;;;87;237.6757607;388.573454;630.839199;256.3304165;;;
2055;;;;;;;87;244.8060335;406.0592595;668.6895509;266.5836331;;;
2056;;;;;;;87;252.1502145;424.3319261;708.810924;277.2469785;;;
2057;;;;;;;87;259.714721;443.4268628;751.3395794;288.3368576;;;
2058;;;;;;;87;267.5061626;463.3810717;796.4199542;299.8703319;;;
2059;;;;;;;87;275.5313475;484.2332199;844.2051514;311.8651452;;;
2060;;;;;;;87;283.7972879;506.0237148;894.8574605;324.339751;;;
2061;;;;;;;87;292.3112065;528.7947819;948.5489082;337.313341;;;
2062;;;;;;;87;301.0805427;552.5905471;1005.461843;350.8058747;;;
2063;;;;;;;87;310.112959;577.4571217;1065.789553;364.8381097;;;
2064;;;;;;;87;319.4163478;603.4426922;1129.736926;379.4316341;;;
